абабукар
абдулжалил
абдулмуслим
абкар
абрам
абрек
абухасан
авет
аветик
агарон
адам
адель
азамат
азат
айдар
айман
айрапет
айрат
аким
алан
алексан
александр
алексей
алибек
алин
алишер
альберт
амир
амирбек
анар
анатолий
анвар
анвяр
андраник
андрей
андроник
анзор
антон
антоний
антраник
анушаван
араик
арам
арарат
арастун
аркадий
арман
армен
арнольд
арсен
арсений
арслан
артавазд
арташес
артем
артемий
артур
арутюн
аршавир
асият
аскербий
аслан
асланбек
асхат
ахсан
ашот
бабкен
баир
бахтияр
баясхалан
бениамин
бислан
богдан
борик
борис
борислав
бронислав
булат
ваган
вагиф
вадим
вазген
валентин
валерий
валерик
вальдемар
вардан
вардгес
вартан
василий
вахтанг
вачаган
вачик
венер
вениамин
виген
виктор
виль
вильдан
вилюр
виталий
владилен
владимир
владислав
владлен
влас
вячеслав
гагик
гаджимурад
газинур
гамзат
гамлет
гарегин
гарик
гасан
гасангусейн
гаспар
гафур
геворг
гегам
гелий
геннадий
георгий
герасим
герман
глеб
грайр
григорий
гукас
гусейн
дамиль
дамир
дамнин
даниель
даниил
данил
данис
даниэл
даниэль
денис
джамал
джамбулат
джамил
джон
динар
дионис
дмитрий
евгений
егор
енок
жаргал
жирайр
зарзанд
заур
зорик
зураб
ибрагим
иван
игорь
идрис
израил
илан
илгар
ильгам
ильгизар
ильдар
ильдус
ильнур
ильфат
ильшат
илья
ильяс
иммануил
инал
иннокентий
ираклий
ирек
искандер
ислам
камил
камиль
карапет
карен
карим
кармен
карэн
каха
кахабер
керим
кирилл
кондрат
константин
корнилий
леван
левон
ленар
леон
леонид
линар
магамед
магомед
магомет
мадин
макар
максим
манвел
мансур
манук
марат
маргар
марк
марсель
мартин
мартын
марьян
матвей
махаббат
махир
мгер
медетбек
мерген
меркурий
меружан
мехман
мехмет
микаил
мириан
мирон
мисаил
михаил
мовсар
мохамед
мунир
мурат
мухтар
назим
наиль
наис
намиг
нарек
нариман
нвер
нерсес
никита
николай
норайр
нурлан
оганес
оганнес
одил
одиссей
олег
омар
осман
павел
паруйр
петр
поликарп
прокопий
рабадан
равиль
радик
радимир
радмир
раиль
раис
раймонд
рамазан
рамил
рамиль
рамин
расим
расул
рауф
рафаил
рафаиль
рафаэль
рафик
рафис
рафкат
рачик
рашит
ренат
ринат
ришат
роберт
роман
ростислав
рудик
рузалин
руслан
рустам
рустем
рустэм
руфат
саак
сабир
садаил
салават
салам
самвел
самсон
санат
саргис
светослав
святослав
севак
сеймур
сейран
семен
сергей
серик
сетрак
симон
собиржон
сослан
спартак
станислав
степан
сулейман
султан
сурен
талгат
тарас
тариел
татос
тахир
тигран
тимофей
тимур
томас
уллубий
усман
фагим
фаиль
фанис
фарит
федор
феликс
фергат
филипп
флюр
франц
харис
цолак
чулпан
шаген
шамиль
шахбан
шахин
ширак
штефан
эдвин
эдгар
эдик
эдуард
элшан
эльбрус
эльдар
эльман
эльмир
эльнур
эмиль
эмин
энвер
эрик
юнир
юрий
юсуф
яков
янош
януш
ярослав
