STRING:CHAR
STRING:NCHAR
STRING:VARCHAR2
STRING:VARCHAR
STRING:NVARCHAR2
STRING:CLOB
STRING:NCLOB
STRING:LONG
STRING:CHARACTER
STRING:TEXT
STRING:NTEXT
STRING:BIT
STRING:SYSNAME
STRING:NVARCHAR(MAX)
STRING:VARCHAR(MAX)
NUMBER:DECIMAL
NUMBER:REAL
NUMBER:DOUBLE
NUMBER:SMALLDECIMAL
NUMBER:NUMERIC
NUMBER:MONEY
NUMBER:SMALLMONEY
NUMBER:FLOAT
NUMBER:REAL
NUMBER:NUMBER
NUMBER:FLOAT
NUMBER:BINARY_FLOAT
NUMBER:BINARY_DOUBLE
DATE:TIME
DATE:SECONDDATE
DATE:SMALLDATETIME
DATE:DATETIME
DATE:DATETIME2
DATE:DATETIMEOFFSET
DATE:DATE
DATE:TIMESTAMP
DATE:TIMESTAMP WITH TIME ZONE
DATE:TIMESTAMP WITH LOCAL TIME ZONE
DATE:INTERVALYM
DATE:INTERVALDS
BINARY:SQL_VARIANT
BINARY:TABLE
BINARY:CURSOR
BINARY:ROWVERSION
BINARY:XML
BINARY:VARBINARY(MAX)
BINARY:IMAGE
BINARY:SQL_VARIANT
BINARY:UNIQUEIDENTIFIER
BINARY:BINARY
BINARY:VARBINARY
BINARY:BOOLEAN
BINARY:BLOB
BINARY:BFILE
BINARY:RAW
BINARY:LONG RAW
BINARY:ROWID
BINARY:UROWID
BINARY:XMLTYPE
BINARY:ANYDATA
BINARY:AQ$_SIG_PROP
